0.0.4091984;2026-02-02 18:02:46.441460
0.0.4870694;2026-02-02 18:51:13.127105
0.0.4279368;2026-02-03 11:25:12.882365
0.0.3168883;2026-02-03 11:28:08.083537
0.0.1285385;2026-02-03 11:29:17.067711
0.0.845476;2026-02-03 11:29:28.943062
0.0.961733;2026-02-03 11:39:17.630780
0.0.4355306;2026-02-03 11:43:01.606925
0.0.4308701;2026-02-03 11:50:18.305317
0.0.683607;2026-02-03 11:52:34.342011
0.0.7863693;2026-02-03 12:02:20.167159
0.0.663924;2026-02-03 12:06:43.984105
0.0.1036366;2026-02-03 12:09:43.469412
0.0.1704972;2026-02-03 12:14:41.546835
0.0.3048854;2026-02-03 12:21:06.004547
0.0.4318040;2026-02-03 12:36:26.663355
0.0.3169359;2026-02-03 12:37:09.908591
0.0.4273349;2026-02-03 12:46:41.588384
0.0.6026822;2026-02-03 13:01:36.586361
0.0.662983;2026-02-03 13:13:02.186855
0.0.1484720;2026-02-03 13:18:57.052203
0.0.1269004;2026-02-03 13:25:08.470678
0.0.6002813;2026-02-03 13:35:21.997544
0.0.616721;2026-02-03 14:00:21.286333
0.0.8174246;2026-02-03 14:13:46.589659
0.0.3968150;2026-02-03 14:32:13.524281
0.0.1468174;2026-02-03 14:33:36.645876
0.0.939841;2026-02-03 14:42:07.456658
0.0.725455;2026-02-03 14:54:21.391971
0.0.5570978;2026-02-03 15:20:38.169504
0.0.3963486;2026-02-03 15:34:29.454181
0.0.4366157;2026-02-03 15:41:16.526078
0.0.6050;2026-02-03 15:43:52.980398
0.0.3041089;2026-02-03 16:03:07.800985
0.0.1786185;2026-02-03 16:41:40.331449
0.0.699534;2026-02-03 16:43:29.313285
0.0.3167151;2026-02-03 16:49:08.917184
0.0.973559;2026-02-03 16:54:12.412604
0.0.1357174;2026-02-03 17:23:48.873753
0.0.7577418;2026-02-03 18:43:06.957623
0.0.1035628;2026-02-03 18:45:54.113269
0.0.7687902;2026-02-03 19:12:41.549459
0.0.2773436;2026-02-03 21:29:37.030736
0.0.4324445;2026-02-03 21:31:37.211664
0.0.4958794;2026-02-03 21:41:09.376351
0.0.499534;2026-02-03 22:53:44.702898
0.0.779779;2026-02-03 22:55:19.288306
0.0.4822391;2026-02-03 23:37:54.468054
0.0.7155902;2026-02-04 00:02:07.425386
0.0.4340074;2026-02-04 03:30:29.966937
0.0.975200;2026-02-04 06:34:18.496938
0.0.458059;2026-02-04 07:39:14.123517
0.0.1404401;2026-02-04 07:52:05.182884
0.0.1097345;2026-02-04 09:11:14.898046
0.0.1742940;2026-02-04 09:16:14.558620
0.0.6063096;2026-02-04 10:45:43.216234
0.0.4253136;2026-02-04 12:13:21.917966
0.0.4561175;2026-02-04 14:14:06.024529
0.0.5106932;2026-02-04 16:04:19.239380
0.0.4758385;2026-02-04 19:04:44.848500
0.0.7060192;2026-02-04 21:21:37.896890
0.0.8152485;2026-02-04 21:37:47.690768
0.0.8142971;2026-02-04 21:45:59.532821
0.0.7785180;2026-02-04 21:55:08.703970
0.0.792532;2026-02-05 01:30:37.182281
0.0.3965809;2026-02-05 11:34:53.251833
0.0.634576;2026-02-05 19:45:03.128284
0.0.512044;2026-02-05 19:47:06.361267
0.0.4595969;2026-02-05 20:50:23.603453
0.0.3760539;2026-02-06 00:56:49.916049
0.0.3687967;2026-02-06 01:48:51.626592
0.0.5171340;2026-02-06 01:51:54.833666
0.0.8147681;2026-02-06 05:31:17.442226
0.0.8158611;2026-02-06 11:18:10.524370
0.0.4701500;2026-02-06 11:47:05.615935
0.0.1478185;2026-02-06 12:01:28.228497
0.0.848305;2026-02-06 12:15:33.652931
0.0.973889;2026-02-06 14:48:06.198223
0.0.4046889;2026-02-06 16:52:10.360832
0.0.790788;2026-02-06 17:54:39.241222
0.0.793318;2026-02-06 17:55:39.130709
0.0.4312340;2026-02-06 18:34:53.028052
0.0.4641568;2026-02-06 18:42:28.413407
0.0.8131324;2026-02-06 21:08:54.267515
0.0.1314552;2026-02-07 12:34:51.731740
0.0.4591759;2026-02-07 14:20:19.828644
0.0.832190;2026-02-07 17:42:33.466835
0.0.5195606;2026-02-07 21:31:04.917134
0.0.445590;2026-02-08 00:38:27.592568
0.0.8193911;2026-02-08 07:13:51.781251
0.0.1097012;2026-02-08 07:36:05.448359
0.0.1708350;2026-02-08 09:29:15.048615
0.0.836658;2026-02-08 17:29:04.607249
0.0.8209469;2026-02-09 09:15:19.649828
0.0.5700356;2026-02-09 11:31:43.190198
0.0.7807171;2026-02-09 14:29:21.273311
0.0.8117644;2026-02-09 14:35:14.990277
0.0.7840939;2026-02-09 18:46:35.992917
0.0.1433899;2026-02-09 20:40:30.149057
0.0.7763952;2026-02-10 04:19:45.617490
0.0.7802114;2026-02-11 01:05:34.660271
0.0.2189289;2026-02-12 07:39:35.919085
0.0.4843176;2026-02-12 18:10:42.154976
0.0.4325842;2026-02-13 08:58:54.521500
0.0.7821112;2026-02-14 11:52:56.118271
0.0.4318142;2026-02-15 09:54:52.373525
0.0.891499;2026-02-15 19:29:29.893675
0.0.568040;2026-02-16 03:53:16.006618
0.0.3215432;2026-02-16 07:13:05.396946
0.0.7770246;2026-02-17 15:43:28.184188
0.0.8205084;2026-02-18 19:58:32.836246
0.0.3274648;2026-02-21 07:40:31.174188
0.0.8013770;2026-02-23 14:16:30.549720
0.0.4858116;2026-02-23 14:44:48.313530
0.0.1097530;2026-02-23 17:19:07.339407
